"N"	"gene"	"beta"	"pval"	"varexp"
"gene100052"	51	"1110059E24Rik"	NA	NA	NA
"gene100053"	52	"1110059G10Rik"	NA	NA	NA
"gene100054"	53	"1110060G06Rik"	-0.0467994873460243	0.611706466312317	0.0928507625105925
"gene100055"	54	"1110065P20Rik"	NA	NA	NA
"gene100056"	55	"1190001M18Rik"	NA	NA	NA
"gene100057"	56	"1190005I06Rik"	NA	NA	NA
"gene100058"	57	"1190007I07Rik"	NA	NA	NA
"gene100059"	58	"1190028D05Rik"	NA	NA	NA
"gene100060"	59	"1200007C13Rik"	NA	NA	NA
"gene100061"	60	"1300002E11Rik"	NA	NA	NA
"gene100062"	61	"1300014J16Rik"	-3.67008354902332	0.895162871537288	0.0245456251032653
"gene100063"	62	"1300017J02Rik"	NA	NA	NA
"gene100064"	63	"1500002C15Rik"	NA	NA	NA
"gene100065"	64	"1500002F19Rik"	NA	NA	NA
"gene100066"	65	"1500004A13Rik"	NA	NA	NA
"gene100067"	66	"1500005C15Rik"	NA	NA	NA
"gene100068"	67	"1500009C09Rik"	NA	NA	NA
"gene100069"	68	"1500009L16Rik"	NA	NA	NA
"gene100070"	69	"1500011B03Rik"	-12.8268164279355	7.34408811118821e-05	0.604137435563997
"gene100071"	70	"1500012K07Rik"	NA	NA	NA
"gene100072"	71	"1500015A07Rik"	NA	NA	NA
"gene100073"	72	"1500015L24Rik"	NA	NA	NA
"gene100074"	73	"1500026H17Rik"	NA	NA	NA
"gene100075"	74	"1500032F14Rik"	NA	NA	NA
"gene100076"	75	"1500035N22Rik"	NA	NA	NA
"gene100077"	76	"1520401A03Rik"	NA	NA	NA
"gene100078"	77	"1600002D24Rik"	0.0369297610427227	0.999999917627776	0
"gene100079"	78	"1600010M07Rik"	NA	NA	NA
"gene100080"	79	"1600012H06Rik"	NA	NA	NA
"gene100081"	80	"1600012P17Rik"	NA	NA	NA
"gene100082"	81	"1600014C10Rik"	NA	NA	NA
"gene100083"	82	"1600014C23Rik"	NA	NA	NA
"gene100084"	83	"1600017P15Rik"	NA	NA	NA
"gene100085"	84	"1600019K03Rik"	NA	NA	NA
"gene100086"	85	"1600020E01Rik"	-21.7260617170193	0.968079425129616	0.00714719036591326
"gene100087"	86	"1600022D10Rik"	NA	NA	NA
"gene100088"	87	"1600023N17Rik"	NA	NA	NA
"gene100089"	88	"1600025M17Rik"	NA	NA	NA
"gene100090"	89	"1600027J07Rik"	NA	NA	NA
"gene100091"	90	"1600029O15Rik"	NA	NA	NA
"gene100092"	91	"1700001C19Rik"	NA	NA	NA
"gene100093"	92	"1700001D01Rik"	NA	NA	NA
"gene100094"	93	"1700001F09Rik"	-0.0434467776973208	0.999999904884748	0
"gene100095"	94	"1700001G01Rik"	NA	NA	NA
"gene100096"	95	"1700001G11Rik"	NA	NA	NA
"gene100097"	96	"1700001G17Rik"	NA	NA	NA
"gene100098"	97	"1700001J03Rik"	NA	NA	NA
"gene100100"	98	"1700001J11Rik"	NA	NA	NA
"gene100101"	99	"1700001K19Rik"	NA	NA	NA
"gene100102"	100	"1700001K23Rik"	NA	NA	NA
"gene100103"	101	"1700001L05Rik"	0.188274698998271	0.000723486472867726	0.595712033939198
"gene100104"	102	"1700001L19Rik"	NA	NA	NA
"gene100105"	103	"1700001N15Rik"	NA	NA	NA
"gene100106"	104	"1700001O22Rik"	NA	NA	NA
"gene100107"	105	"1700001P01Rik"	NA	NA	NA
"gene100108"	106	"1700003C15Rik"	NA	NA	NA
"gene100109"	107	"1700003D09Rik"	NA	NA	NA
"gene100110"	108	"1700003E16Rik"	NA	NA	NA
"gene100111"	109	"1700003E24Rik"	-0.0051100569944506	0.0101644628995951	0.686632100464236
"gene100112"	110	"1700003F12Rik"	NA	NA	NA
"gene100113"	111	"1700003G18Rik"	NA	NA	NA
"gene100114"	112	"1700003H04Rik"	NA	NA	NA
"gene100115"	113	"1700003I16Rik"	NA	NA	NA
"gene100117"	114	"1700003L19Rik"	NA	NA	NA
"gene100118"	115	"1700003M07Rik"	NA	NA	NA
"gene100119"	116	"1700003N22Rik"	NA	NA	NA
"gene100120"	117	"1700003O11Rik"	0.0188369901174798	0.944867260724545	0.00938003155174564
"gene100121"	118	"1700003P14Rik"	NA	NA	NA
"gene100122"	119	"1700006A11Rik"	NA	NA	NA
"gene100123"	120	"1700006F04Rik"	NA	NA	NA
"gene100124"	121	"1700006H21Rik"	NA	NA	NA
"gene100125"	122	"1700006J14Rik"	NA	NA	NA
"gene100126"	123	"1700006P03Rik"	NA	NA	NA
"gene100127"	124	"1700007E05Rik"	NA	NA	NA
"gene100128"	125	"1700007F19Rik"	-0.0359684728012777	0.165424164390652	0.262677834979212
"gene100129"	126	"1700007H22Rik"	NA	NA	NA
"gene100130"	127	"1700007J10Rik"	NA	NA	NA
"gene100131"	128	"1700007K13Rik"	NA	NA	NA
"gene100132"	129	"1700007L15Rik"	NA	NA	NA
"gene100133"	130	"1700007M16Rik"	NA	NA	NA
"gene100134"	131	"1700007P06Rik"	NA	NA	NA
"gene100135"	132	"1700008A23Rik"	NA	NA	NA
"gene100136"	133	"1700008B11Rik"	-0.00712263243796163	0.230324953956565	0.177339358836536
"gene100137"	134	"1700008C04Rik"	NA	NA	NA
"gene100138"	135	"1700008H02Rik"	NA	NA	NA
"gene100139"	136	"1700008J07Rik"	NA	NA	NA
"gene100140"	137	"1700008K24Rik"	NA	NA	NA
"gene100142"	138	"1700008O03Rik"	NA	NA	NA
"gene100143"	139	"1700008P02Rik"	NA	NA	NA
"gene100144"	140	"1700009C05Rik"	NA	NA	NA
"gene100145"	141	"1700009J07Rik"	0.0456191165821868	1	0
"gene100146"	142	"1700009N14Rik"	NA	NA	NA
"gene100147"	143	"1700010B08Rik"	NA	NA	NA
"gene100148"	144	"1700010B13Rik"	NA	NA	NA
"gene100149"	145	"1700010D01Rik"	NA	NA	NA
"gene100150"	146	"1700010G06Rik"	NA	NA	NA
"gene100151"	147	"1700010H22Rik"	NA	NA	NA
"gene100152"	148	"1700010I02Rik"	NA	NA	NA
"gene100153"	149	"1700010I14Rik"	-1.56194482529941	0.00959911556526065	0.478964229419616
"gene100154"	150	"1700010J16Rik"	NA	NA	NA
"gene100156"	151	"1700010K24Rik"	NA	NA	NA
"gene100157"	152	"1700010L04Rik"	NA	NA	NA
"gene100158"	153	"1700010N08Rik"	NA	NA	NA
"gene100159"	154	"1700011B04Rik"	NA	NA	NA
"gene100160"	155	"1700011C11Rik"	NA	NA	NA
"gene100161"	156	"1700011D18Rik"	NA	NA	NA
"gene100163"	157	"1700011L22Rik"	-0.0144822592324403	1	0
"gene100165"	158	"1700012A03Rik"	NA	NA	NA
"gene100166"	159	"1700012B07Rik"	NA	NA	NA
"gene100167"	160	"1700012B09Rik"	NA	NA	NA
"gene100169"	161	"1700012C14Rik"	NA	NA	NA
"gene100170"	162	"1700012D14Rik"	NA	NA	NA
"gene100171"	163	"1700012D16Rik"	NA	NA	NA
"gene100172"	164	"1700012E03Rik"	NA	NA	NA
"gene100173"	165	"1700012I11Rik"	-0.0689724570023294	0.0032059598817826	0.558708555424339
"gene100174"	166	"1700012J15Rik"	NA	NA	NA
"gene100175"	167	"1700012J22Rik"	NA	NA	NA
"gene100176"	168	"1700012P22Rik"	NA	NA	NA
"gene100177"	169	"1700013A02Rik"	NA	NA	NA
"gene100178"	170	"1700013D24Rik"	NA	NA	NA
"gene100179"	171	"1700013F07Rik"	NA	NA	NA
"gene100180"	172	"1700013G24Rik"	NA	NA	NA
"gene100181"	173	"1700013H16Rik"	-0.190441708906589	1	0
"gene100182"	174	"1700013M08Rik"	NA	NA	NA
"gene100183"	175	"1700013N06Rik"	NA	NA	NA
"gene100184"	176	"1700014D04Rik"	NA	NA	NA
"gene100186"	177	"1700014L14Rik"	NA	NA	NA
"gene100187"	178	"1700015C15Rik"	NA	NA	NA
"gene100188"	179	"1700015C17Rik"	NA	NA	NA
"gene100189"	180	"1700015F17Rik"	NA	NA	NA
"gene100190"	181	"1700015G11Rik"	-0.00196550936343675	0.779367306015793	0.0480986132723692
"gene100191"	182	"1700015H07Rik"	NA	NA	NA
"gene100192"	183	"1700015I17Rik"	NA	NA	NA
"gene100193"	184	"1700015O11Rik"	NA	NA	NA
"gene100194"	185	"1700016A09Rik"	NA	NA	NA
"gene100196"	186	"1700016B15Rik"	NA	NA	NA
"gene100197"	187	"1700016C15Rik"	NA	NA	NA
"gene100198"	188	"1700016D06Rik"	NA	NA	NA
"gene100200"	189	"1700016F12Rik"	0.0311368573497466	1	0
"gene100201"	190	"1700016G22Rik"	NA	NA	NA
"gene100202"	191	"1700016H03Rik"	NA	NA	NA
"gene100203"	192	"1700016H13Rik"	NA	NA	NA
"gene100204"	193	"1700016J18Rik"	NA	NA	NA
"gene100205"	194	"1700016K05Rik"	NA	NA	NA
"gene100206"	195	"1700016K19Rik"	NA	NA	NA
"gene100207"	196	"1700016L21Rik"	NA	NA	NA
"gene100208"	197	"1700016P03Rik"	13.4044115493205	0.677188612472615	0.0563519500512729
"gene100209"	198	"1700016P04Rik"	NA	NA	NA
"gene100210"	199	"1700017B05Rik"	NA	NA	NA
"gene100211"	200	"1700017G19Rik"	NA	NA	NA
"gene100213"	201	"1700017J07Rik"	NA	NA	NA
"gene100215"	202	"1700017M07Rik"	NA	NA	NA
"gene100216"	203	"1700017N19Rik"	NA	NA	NA
"gene100217"	204	"1700018A04Rik"	NA	NA	NA
"gene100218"	205	"1700018A14Rik"	-0.0858715557093345	0.24089886110476	0.225684445367513
"gene100219"	206	"1700018A23Rik"	NA	NA	NA
"gene100220"	207	"1700018B08Rik"	NA	NA	NA
"gene100221"	208	"1700018B24Rik"	NA	NA	NA
"gene100222"	209	"1700018F24Rik"	NA	NA	NA
"gene100224"	210	"1700018L02Rik"	NA	NA	NA
"gene100225"	211	"1700018M17Rik"	NA	NA	NA
"gene100226"	212	"1700018P08Rik"	NA	NA	NA
"gene100227"	213	"1700019A02Rik"	-0.167994207096307	1	0
"gene100228"	214	"1700019A23Rik"	NA	NA	NA
"gene100229"	215	"1700019C18Rik"	NA	NA	NA
"gene100230"	216	"1700019D03Rik"	NA	NA	NA
"gene100231"	217	"1700019E08Rik"	NA	NA	NA
"gene100232"	218	"1700019F05Rik"	NA	NA	NA
"gene100233"	219	"1700019G24Rik"	NA	NA	NA
"gene100234"	220	"1700019J19Rik"	NA	NA	NA
"gene100235"	221	"1700019L13Rik"	1.07026225845665	0.0768880788554106	0.361440285714328
"gene100236"	222	"1700019M22Rik"	NA	NA	NA
"gene100237"	223	"1700019N19Rik"	NA	NA	NA
"gene100239"	224	"1700020A23Rik"	NA	NA	NA
"gene100240"	225	"1700020D05Rik"	NA	NA	NA
"gene100242"	226	"1700020G03Rik"	NA	NA	NA
"gene100243"	227	"1700020G17Rik"	NA	NA	NA
"gene100244"	228	"1700020L24Rik"	NA	NA	NA
"gene100246"	229	"1700020N01Rik"	0.0209992758870384	1	0
"gene100248"	230	"1700020N18Rik"	NA	NA	NA
"gene100249"	231	"1700021A07Rik"	NA	NA	NA
"gene100250"	232	"1700021F02Rik"	NA	NA	NA
"gene100251"	233	"1700021F07Rik"	NA	NA	NA
"gene100252"	234	"1700021F13Rik"	NA	NA	NA
"gene100253"	235	"1700021G15Rik"	NA	NA	NA
"gene100254"	236	"1700021J08Rik"	NA	NA	NA
"gene100255"	237	"1700021L23Rik"	0.124547429398986	1	0
"gene100257"	238	"1700021P04Rik"	NA	NA	NA
"gene100258"	239	"1700022A21Rik"	NA	NA	NA
"gene100259"	240	"1700022A22Rik"	NA	NA	NA
"gene100260"	241	"1700022E09Rik"	NA	NA	NA
"gene100261"	242	"1700022H01Rik"	NA	NA	NA
"gene100262"	243	"1700022H16Rik"	NA	NA	NA
"gene100263"	244	"1700022I11Rik"	NA	NA	NA
"gene100264"	245	"1700022N22Rik"	-0.248404023516828	0.0151876665554777	0.43206572033245
"gene100265"	246	"1700023B13Rik"	NA	NA	NA
"gene100266"	247	"1700023C21Rik"	NA	NA	NA
"gene100267"	248	"1700023F02Rik"	NA	NA	NA
"gene100268"	249	"1700023G09Rik"	NA	NA	NA
"gene100269"	250	"1700023H06Rik"	NA	NA	NA
"gene100270"	251	"1700024B05Rik"	NA	NA	NA
"gene100271"	252	"1700024B18Rik"	NA	NA	NA
"gene100272"	253	"1700024G13Rik"	0.00289645184648806	1	0
"gene100273"	254	"1700024I08Rik"	NA	NA	NA
"gene100274"	255	"1700024J04Rik"	NA	NA	NA
"gene100275"	256	"1700025A08Rik"	NA	NA	NA
"gene100276"	257	"1700025B11Rik"	NA	NA	NA
"gene100278"	258	"1700025D23Rik"	NA	NA	NA
"gene100279"	259	"1700025F24Rik"	NA	NA	NA
"gene100280"	260	"1700025G04Rik"	NA	NA	NA
"gene100281"	261	"1700025H01Rik"	-0.00120635364892539	0.804242033187561	0.0314572811360262
"gene100282"	262	"1700025J12Rik"	NA	NA	NA
"gene100283"	263	"1700025K04Rik"	NA	NA	NA
"gene100284"	264	"1700025K24Rik"	NA	NA	NA
"gene100285"	265	"1700025L06Rik"	NA	NA	NA
"gene100286"	266	"1700025M24Rik"	NA	NA	NA
"gene100287"	267	"1700025N21Rik"	NA	NA	NA
"gene100288"	268	"1700025N23Rik"	NA	NA	NA
"gene100289"	269	"1700025O08Rik"	-0.0318609703113686	1	0
"gene100290"	270	"1700026D11Rik"	NA	NA	NA
"gene100291"	271	"1700026F02Rik"	NA	NA	NA
"gene100292"	272	"1700026J12Rik"	NA	NA	NA
"gene100293"	273	"1700026J14Rik"	NA	NA	NA
"gene100294"	274	"1700026N04Rik"	NA	NA	NA
"gene100295"	275	"1700027A07Rik"	NA	NA	NA
"gene100296"	276	"1700027A15Rik"	NA	NA	NA
"gene100297"	277	"1700027F06Rik"	-0.00120635364892539	0.804242033187561	0.0314572811360262
"gene100298"	278	"1700027F09Rik"	NA	NA	NA
"gene100299"	279	"1700027H10Rik"	NA	NA	NA
"gene100300"	280	"1700027I24Rik"	NA	NA	NA
"gene100301"	281	"1700027J07Rik"	NA	NA	NA
"gene100302"	282	"1700028B04Rik"	NA	NA	NA
"gene100303"	283	"1700028D13Rik"	NA	NA	NA
"gene100304"	284	"1700028E10Rik"	NA	NA	NA
"gene100305"	285	"1700028I16Rik"	0.0282404055032585	1	0
"gene100306"	286	"1700028J19Rik"	NA	NA	NA
"gene100307"	287	"1700028K03Rik"	NA	NA	NA
"gene100308"	288	"1700028M03Rik"	NA	NA	NA
"gene100309"	289	"1700028N14Rik"	NA	NA	NA
"gene100310"	290	"1700028P14Rik"	NA	NA	NA
"gene100311"	291	"1700028P15Rik"	NA	NA	NA
"gene100312"	292	"1700029B22Rik"	NA	NA	NA
"gene100315"	293	"1700029F12Rik"	-0.00434467776973208	1	0
"gene100316"	294	"1700029H14Rik"	NA	NA	NA
"gene100317"	295	"1700029I15Rik"	NA	NA	NA
"gene100318"	296	"1700029J03Rik"	NA	NA	NA
"gene100319"	297	"1700029J07Rik"	NA	NA	NA
"gene100320"	298	"1700029M03Rik"	NA	NA	NA
"gene100321"	299	"1700029M20Rik"	NA	NA	NA
"gene100322"	300	"1700029N11Rik"	NA	NA	NA
"gene100323"	301	"1700029P11Rik"	-0.0155761332546905	0.866210178561301	0.021033830763378
"gene100324"	302	"1700030A11Rik"	NA	NA	NA
"gene100325"	303	"1700030C10Rik"	NA	NA	NA
"gene100326"	304	"1700030C12Rik"	NA	NA	NA
"gene100327"	305	"1700030C14Rik"	NA	NA	NA
"gene100328"	306	"1700030E10Rik"	NA	NA	NA
"gene100329"	307	"1700030F04Rik"	NA	NA	NA
"gene100330"	308	"1700030I03Rik"	NA	NA	NA
"gene100331"	309	"1700030J22Rik"	0.19768283852281	1	0
"gene100332"	310	"1700030K09Rik"	NA	NA	NA
"gene100333"	311	"1700030L20Rik"	NA	NA	NA
"gene100334"	312	"1700030L22Rik"	NA	NA	NA
"gene100335"	313	"1700030M09Rik"	NA	NA	NA
"gene100336"	314	"1700030N03Rik"	NA	NA	NA
"gene100338"	315	"1700030O20Rik"	NA	NA	NA
"gene100339"	316	"1700031A10Rik"	NA	NA	NA
"gene100340"	317	"1700031F05Rik"	-0.00147656072679267	0.0327317154567867	0.630468720991057
"gene100341"	318	"1700031F10Rik"	NA	NA	NA
"gene100342"	319	"1700031L13Rik"	NA	NA	NA
"gene100343"	320	"1700031M16Rik"	NA	NA	NA
"gene100344"	321	"1700031P21Rik"	NA	NA	NA
"gene100345"	322	"1700034B16Rik"	NA	NA	NA
"gene100346"	323	"1700034E13Rik"	NA	NA	NA
"gene100347"	324	"1700034G24Rik"	NA	NA	NA
"gene100348"	325	"1700034H15Rik"	-0.212889210716872	1	0
"gene100349"	326	"1700034I23Rik"	NA	NA	NA
"gene100350"	327	"1700034J04Rik"	NA	NA	NA
"gene100351"	328	"1700034J05Rik"	NA	NA	NA
"gene100352"	329	"1700034K08Rik"	NA	NA	NA
"gene100353"	330	"1700034P13Rik"	NA	NA	NA
"gene100354"	331	"1700036A12Rik"	NA	NA	NA
"gene100358"	332	"1700037C18Rik"	NA	NA	NA
"gene100359"	333	"1700037F03Rik"	-0.00120635364891981	0.804242033187566	0.031457281135721
"gene100360"	334	"1700037H04Rik"	NA	NA	NA
"gene100362"	335	"1700039I01Rik"	NA	NA	NA
"gene100363"	336	"1700039M10Rik"	NA	NA	NA
"gene100364"	337	"1700039M15Rik"	NA	NA	NA
"gene100365"	338	"1700040D17Rik"	NA	NA	NA
"gene100366"	339	"1700040E09Rik"	NA	NA	NA
"gene100368"	340	"1700040F17Rik"	NA	NA	NA
"gene100369"	341	"1700040K01Rik"	0.0362056480811006	1	0
"gene100370"	342	"1700040L08Rik"	NA	NA	NA
"gene100372"	343	"1700041C23Rik"	NA	NA	NA
"gene100373"	344	"1700041G16Rik"	NA	NA	NA
"gene100374"	345	"1700041I07Rik"	NA	NA	NA
"gene100376"	346	"1700041M19Rik"	NA	NA	NA
"gene100377"	347	"1700042D02Rik"	NA	NA	NA
"gene100379"	348	"1700042G15Rik"	NA	NA	NA
"gene100380"	349	"1700042O05Rik"	0.0166545981173063	1	0
"gene100381"	350	"1700042O10Rik"	NA	NA	NA
"gene100382"	351	"1700044C05Rik"	NA	NA	NA
"gene100383"	352	"1700044K03Rik"	NA	NA	NA
"gene100384"	353	"1700045H11Rik"	NA	NA	NA
"gene100386"	354	"1700046C09Rik"	NA	NA	NA
"gene100387"	355	"1700047A11Rik"	NA	NA	NA
"gene100388"	356	"1700047E10Rik"	NA	NA	NA
"gene100389"	357	"1700047F07Rik"	0.0151767308043983	0.811460056284853	0.0314403043596643
"gene100390"	358	"1700047G03Rik"	NA	NA	NA
"gene100391"	359	"1700047G07Rik"	NA	NA	NA
"gene100392"	360	"1700047K16Rik"	NA	NA	NA
"gene100393"	361	"1700047L14Rik"	NA	NA	NA
"gene100394"	362	"1700047M11Rik"	NA	NA	NA
"gene100395"	363	"1700047N06Rik"	NA	NA	NA
"gene100396"	364	"1700047O18Rik"	NA	NA	NA
"gene100397"	365	"1700048F04Rik"	0.0340333091962346	1	0
"gene100398"	366	"1700048M11Rik"	NA	NA	NA
"gene100399"	367	"1700048O14Rik"	NA	NA	NA
"gene100400"	368	"1700048O20Rik"	NA	NA	NA
"gene100401"	369	"1700048P04Rik"	NA	NA	NA
"gene100402"	370	"1700049E15Rik"	NA	NA	NA
"gene100406"	371	"1700049L16Rik"	NA	NA	NA
"gene100408"	372	"1700051K13Rik"	NA	NA	NA
"gene100409"	373	"1700051O22Rik"	0.0427226647356988	0.999999865486721	0
"gene100410"	374	"1700052H01Rik"	NA	NA	NA
"gene100411"	375	"1700052I22Rik"	NA	NA	NA
"gene100412"	376	"1700052K11Rik"	NA	NA	NA
"gene100413"	377	"1700054A03Rik"	NA	NA	NA
"gene100414"	378	"1700054K02Rik"	NA	NA	NA
"gene100415"	379	"1700054K19Rik"	NA	NA	NA
"gene100416"	380	"1700054M17Rik"	NA	NA	NA
"gene100417"	381	"1700054O05Rik"	-0.0427016093439166	0.0688132580336896	0.344731612140933
"gene100419"	382	"1700055C04Rik"	NA	NA	NA
"gene100420"	383	"1700055D18Rik"	NA	NA	NA
"gene100421"	384	"1700056E22Rik"	NA	NA	NA
"gene100422"	385	"1700056N10Rik"	NA	NA	NA
"gene100423"	386	"1700057G04Rik"	NA	NA	NA
"gene100424"	387	"1700057H15Rik"	NA	NA	NA
"gene100425"	388	"1700057H21Rik"	NA	NA	NA
"gene100426"	389	"1700058P15Rik"	-0.0202751629254167	1	0
"gene100427"	390	"1700060C16Rik"	NA	NA	NA
"gene100428"	391	"1700060C20Rik"	NA	NA	NA
"gene100429"	392	"1700060J05Rik"	NA	NA	NA
"gene100430"	393	"1700060O08Rik"	NA	NA	NA
"gene100431"	394	"1700061A03Rik"	NA	NA	NA
"gene100432"	395	"1700061E17Rik"	NA	NA	NA
"gene100433"	396	"1700061E18Rik"	NA	NA	NA
"gene100434"	397	"1700061F12Rik"	2.71620286058276	0.962361967889837	0.00584723230989627
"gene100435"	398	"1700061H18Rik"	NA	NA	NA
"gene100436"	399	"1700061I17Rik"	NA	NA	NA
"gene100437"	400	"1700061J23Rik"	NA	NA	NA
"gene100438"	401	"1700061N14Rik"	NA	NA	NA
"gene100439"	402	"1700062C10Rik"	NA	NA	NA
"gene100440"	403	"1700063A18Rik"	NA	NA	NA
"gene100441"	404	"1700063D05Rik"	NA	NA	NA
"gene100442"	405	"1700063H04Rik"	-0.00625923041421108	0.56524021371011	0.0861984711240707
"gene100443"	406	"1700063H06Rik"	NA	NA	NA
"gene100444"	407	"1700063I16Rik"	NA	NA	NA
"gene100445"	408	"1700063J08Rik"	NA	NA	NA
"gene100446"	409	"1700063K16Rik"	NA	NA	NA
"gene100448"	410	"1700064H15Rik"	NA	NA	NA
"gene100449"	411	"1700064J06Rik"	NA	NA	NA
"gene100451"	412	"1700065D16Rik"	NA	NA	NA
"gene100452"	413	"1700065I16Rik"	0.0441708906589428	0.999999904884748	0
"gene100453"	414	"1700065J11Rik"	NA	NA	NA
"gene100454"	415	"1700065J18Rik"	NA	NA	NA
"gene100455"	416	"1700065L07Rik"	NA	NA	NA
"gene100456"	417	"1700065O20Rik"	NA	NA	NA
"gene100457"	418	"1700066B17Rik"	NA	NA	NA
"gene100458"	419	"1700066B19Rik"	NA	NA	NA
"gene100459"	420	"1700066C05Rik"	NA	NA	NA
"gene100460"	421	"1700066J03Rik"	-0.0511305365213764	0.868059766428916	0.0439882696051839
"gene100461"	422	"1700066M21Rik"	NA	NA	NA
"gene100462"	423	"1700066N21Rik"	NA	NA	NA
"gene100463"	424	"1700066O22Rik"	NA	NA	NA
"gene100464"	425	"1700067G17Rik"	NA	NA	NA
"gene100465"	426	"1700067K01Rik"	NA	NA	NA
"gene100466"	427	"1700067P10Rik"	NA	NA	NA
"gene100467"	428	"1700069B07Rik"	NA	NA	NA
"gene100468"	429	"1700069L16Rik"	-0.00120635364892539	0.804242033187561	0.0314572811360262
"gene100469"	430	"1700069P05Rik"	NA	NA	NA
"gene100470"	431	"1700071G01Rik"	NA	NA	NA
"gene100471"	432	"1700071K01Rik"	NA	NA	NA
"gene100472"	433	"1700071M16Rik"	NA	NA	NA
"gene100473"	434	"1700072B07Rik"	NA	NA	NA
"gene100474"	435	"1700072G22Rik"	NA	NA	NA
"gene100475"	436	"1700072O05Rik"	NA	NA	NA
"gene100476"	437	"1700073E17Rik"	0.185372918175235	1	0
"gene100477"	438	"1700074A21Rik"	NA	NA	NA
"gene100478"	439	"1700074H08Rik"	NA	NA	NA
"gene100479"	440	"1700074P13Rik"	NA	NA	NA
"gene100480"	441	"1700080C20Rik"	NA	NA	NA
"gene100481"	442	"1700080N15Rik"	NA	NA	NA
"gene100482"	443	"1700080O16Rik"	NA	NA	NA
"gene100483"	444	"1700081B01Rik"	NA	NA	NA
"gene100484"	445	"1700081H04Rik"	-0.0113893858418684	0.967898295096938	0.00577717417087823
"gene100485"	446	"1700081N11Rik"	NA	NA	NA
"gene100486"	447	"1700082M22Rik"	NA	NA	NA
"gene100487"	448	"1700083H02Rik"	NA	NA	NA
"gene100488"	449	"1700084C06Rik"	NA	NA	NA
"gene100489"	450	"1700084D21Rik"	NA	NA	NA
"gene100490"	451	"1700084E18Rik"	NA	NA	NA
"gene100491"	452	"1700084F23Rik"	NA	NA	NA
"gene100492"	453	"1700084J12Rik"	0.260120740767528	0.467649071509646	0.125357048943789
"gene100494"	454	"1700085C21Rik"	NA	NA	NA
"gene100495"	455	"1700085D07Rik"	NA	NA	NA
"gene100496"	456	"1700086D15Rik"	NA	NA	NA
"gene100497"	457	"1700086L19Rik"	NA	NA	NA
"gene100498"	458	"1700086O06Rik"	NA	NA	NA
