© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Virus Entry via Endocytic Pathways	6.81E00	1.8E-01	NaN	ACTB,ACTG1,B2M,CLTC,FLNA,FYN,HLA-A,ITGB1,ITGB2,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAC2,RAP1B	
Ephrin Receptor Signaling	6.63E00	1.28E-01	3.900	ARPC1B,ARPC2,ARPC4,ARPC5,CFL1,FYN,GNB1,GRINA,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,NCK1,PIK3CG,RAC2,RAP1B,RAPGEF1,RGS3,RHOA,SDCBP,SH2D3C	
CD28 Signaling in T Helper Cells	6.57E00	1.55E-01	4.000	ARPC1B,ARPC2,ARPC4,ARPC5,Calm1 (includes others),FCER1G,FYN,HLA-A,MALT1,MAP3K1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PTPRC,SYK	
Cdc42 Signaling	6.38E00	1.44E-01	2.887	ARPC1B,ARPC2,ARPC4,ARPC5,B2M,CFL1,EXOC6,FCER1G,HLA-A,IQGAP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MYL12B,MYL6,PPP1R12A	
IL-8 Signaling	6.37E00	1.24E-01	4.690	BCL2L1,CCND3,Cdc42,FNBP1,GNB1,ICAM1,IQGAP1,IRAK2,ITGAM,ITGAX,ITGB2,LASP1,MYL12B,PIK3CG,PIK3R1,PIK3R5,PLD3,PRKCB,PTK2B,RAC2,RAP1B,RHOA,RHOF	
FAK Signaling	6.33E00	1.57E-01	NaN	ACTB,ACTG1,ARHGAP26,CAPN2,FYN,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP1B,TLN1	
Paxillin Signaling	6.28E00	1.65E-01	3.464	ACTB,ACTG1,ARF1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,NCK1,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,TLN1	
RhoA Signaling	6.22E00	1.63E-01	3.500	ACTB,ACTG1,ARPC1B,ARPC2,ARPC4,ARPC5,CDC42EP3,CFL1,MYL12B,MYL6,PFN1,PPP1R12A,PTK2B,RHOA,SEPTIN11,SEPTIN2	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	6.07E00	1.27E-01	2.828	Cdc42,CYBA,FNBP1,IFNGR1,IRF8,JAK1,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPM1J,PPP1CA,PPP1R12A,PRKCB,RAC2,RAP1B,RHOA,RHOF,TNFRSF1B,TYK2	
Caveolar-mediated Endocytosis Signaling	5.96E00	1.91E-01	NaN	ACTB,ACTG1,B2M,CD48,FLNA,FYN,HLA-A,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2	
Chemokine Signaling	5.81E00	1.86E-01	2.496	Calm1 (includes others),CAMK2G,CCL4,CCL5,CCR5,CFL1,PIK3CG,PLCG2,PPP1R12A,PRKCB,PTK2B,RAP1B,RHOA	
T Cell Exhaustion Signaling Pathway	5.79E00	1.32E-01	1.698	EOMES,FCER1G,HLA-A,IL10RA,IL10RB,IL12RB2,JAK1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPM1J,PRDM1,RAP1B,SMAD3,STAT4,TBX21,TYK2	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	5.7E00	1.13E-01	3.128	B2M,CASP1,CBL,CD44,Cdc42,FASLG,FCER1G,FNBP1,HLA-A,ITGAL,MAP2K3,PIK3CG,PIK3R1,PIK3R5,PPM1J,PPP3CA,PPP3CC,RAC2,RAP1B,RHOA,RHOF,SELPLG,SYK	
Clathrin-mediated Endocytosis Signaling	5.39E00	1.24E-01	NaN	ACTB,ACTG1,ARPC1B,ARPC2,ARPC4,ARPC5,CBL,CLTC,F2R,HIP1R,HSPA8,ITGB1,ITGB2,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,RAB11A	
PAK Signaling	5.39E00	1.5E-01	3.162	CFL1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MYL12B,MYL6,NCK1,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B	
Molecular Mechanisms of Cancer	5.34E00	8.63E-02	NaN	ARHGEF18,ARHGEF2,ARHGEF3,BCL2L1,CAMK2G,CBL,CCND3,Cdc42,FASLG,FNBP1,FYN,GNB1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,JAK1,MAP2K3,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,PRKCB,RAC2,RAP1B,RAPGEF1,RBL2,RHOA,RHOF,SMAD3,TYK2	
Germ Cell-Sertoli Cell Junction Signaling	5.1E00	1.23E-01	NaN	ACTB,ACTG1,Cdc42,CFL1,FNBP1,IQGAP1,ITGB1,MAP2K3,MAP3K1,PIK3CG,PIK3R1,PIK3R5,RAB8B,RAC2,RAP1B,RHOA,RHOF,ZYX	
Cardiac Hypertrophy Signaling	4.86E00	1.04E-01	4.472	Calm1 (includes others),Cdc42,FNBP1,GNB1,MAP2K3,MAP3K1,MEF2A,MEF2C,MYL12B,MYL6,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,RAC2,RAP1B,RHOA,RHOF	
Semaphorin Signaling in Neurons	4.82E00	1.96E-01	NaN	Cdc42,CFL1,DPYSL2,FES,FNBP1,FYN,ITGB1,RAC2,RHOA,RHOF	
Hepatic Fibrosis Signaling Pathway	4.75E00	8.47E-02	4.426	Calm1 (includes others),CCL5,Cdc42,FNBP1,FTH1,ICAM1,IL18RAP,IRAK2,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,JAK1,MAP2K3,MYL12B,MYL6,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A,PRKCB,RAC2,RAP1B,RHOA,RHOF,SMAD3,TNFRSF1B	
Glioma Invasiveness Signaling	4.67E00	1.72E-01	3.000	CD44,Cdc42,F2R,FNBP1,PIK3CG,PIK3R1,PIK3R5,RAC2,RAP1B,RHOA,RHOF	
ILK Signaling	4.62E00	1.14E-01	2.673	ACTB,ACTG1,Cdc42,CFL1,FLNA,FNBP1,ITGB1,ITGB2,MYL6,PIK3CG,PIK3R1,PIK3R5,PPM1J,PPP1R12A,RAC2,RHOA,RHOF,VIM	
Role of NFAT in Regulation of the Immune Response	4.58E00	1.09E-01	4.243	Calm1 (includes others),FCER1G,FCGR2A,FCGR2B,FYN,GNB1,HLA-A,LYN,MEF2A,MEF2C,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,RAP1B,SYK	
PD-1, PD-L1 cancer immunotherapy pathway	4.57E00	1.44E-01	-1.387	B2M,BCL2L1,CBLB,HLA-A,IFNGR1,IL2RB,JAK1,PIK3CG,PIK3R1,PIK3R5,SMAD3,TNFRSF1B,TYK2	
Thrombin Signaling	4.55E00	1.09E-01	3.606	ARHGEF2,ARHGEF3,CAMK2G,Cdc42,F2R,FNBP1,GNB1,MYL12B,MYL6,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP1R12A,PRKCB,RAC2,RAP1B,RHOA,RHOF	
Protein Kinase A Signaling	4.48E00	8.62E-02	1.569	Calm1 (includes others),CAMK2G,FLNA,GNB1,MAP3K1,MYL12B,MYL6,NFATC1,PLCG2,PPP1CA,PPP1R12A,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,PTK2B,PTPN2,PTPN22,PTPN4,PTPRC,PTPRE,RAP1B,RHOA,SMAD3,UBASH3B,YWHAB,YWHAQ	
Gαq Signaling	4.48E00	1.16E-01	3.873	Calm1 (includes others),Cdc42,FNBP1,GNB1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD3,PPP3CA,PPP3CC,PRKCB,PTK2B,RAC2,RHOA,RHOF	
Th2 Pathway	4.46E00	1.26E-01	0.577	CCR5,HLA-A,ICAM1,IL12RB2,IL2RB,ITGB2,JAK1,NOTCH2,PIK3CG,PIK3R1,PIK3R5,RUNX3,STAT4,TBX21,TYK2	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.42E00	1.62E-01	2.646	ACTB,ACTG1,CAMK2G,FASLG,HLA-A,IL2RB,ITGAL,KLRD1,PRF1,TLN1,TNFRSF1B	
fMLP Signaling in Neutrophils	4.42E00	1.25E-01	3.742	ARPC1B,ARPC2,ARPC4,ARPC5,Calm1 (includes others),GNB1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PRKCB,RAC2,RAP1B	
Cardiac Hypertrophy Signaling (Enhanced)	4.4E00	7.69E-02	5.477	ATF6,ATP2A3,Calm1 (includes others),CAMK2G,FASLG,GNB1,IL10RA,IL10RB,IL12RB2,IL18R1,IL18RAP,IL2RB,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MAP2K3,MAP3K1,MEF2A,MEF2C,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,RAP1B,RHOA,TNFRSF1B	
HGF Signaling	4.29E00	1.22E-01	3.162	ELF4,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B,RAPGEF1	
Neuroinflammation Signaling Pathway	4.16E00	9.13E-02	3.273	B2M,CASP1,CCL5,CX3CR1,FASLG,GRINA,HLA-A,ICAM1,IDE,IFNGR1,IRAK2,JAK1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PYCARD,RAC2,SYK,TYK2	
NRF2-mediated Oxidative Stress Response	4.12E00	1.01E-01	3.000	ACTB,ACTG1,DNAJC1,DNAJC15,FKBP5,FTH1,HERPUD1,HSP90AB1,HSP90B1,JUNB,MAP2K3,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PRKCB,RAP1B,SQSTM1,STIP1	
Insulin Receptor Signaling	4.05E00	1.16E-01	2.324	ACLY,CBL,FYN,INPP5D,JAK1,NCK1,PIK3CG,PIK3R1,PIK3R5,PPP1CA,PPP1R12A,PRKACB,PRKAR1A,RAP1B,RAPGEF1	
Fc Epsilon RI Signaling	3.82E00	1.23E-01	3.051	FCER1G,FYN,INPP5D,LYN,MAP2K3,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAC2,RAP1B,SYK	
iCOS-iCOSL Signaling in T Helper Cells	3.82E00	1.23E-01	2.714	Calm1 (includes others),CAMK2G,FCER1G,HLA-A,IL2RB,INPP5D,NFATC1,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PTPRC	
GP6 Signaling Pathway	3.78E00	1.21E-01	3.464	Calm1 (includes others),FCER1G,FYN,LYN,NCK1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B,SYK,TLN1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	3.76E00	1.38E-01	NaN	B2M,CLTC,FCER1G,FYN,HLA-A,PIK3CG,PIK3R1,PIK3R5,PPM1J,PTPN22,SYK	
PTEN Signaling	3.72E00	1.09E-01	-1.667	BCL2L1,CBL,FASLG,INPP5D,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,PIK3CG,PIK3R1,PIK3R5,RAC2,RAP1B	
GM-CSF Signaling	3.71E00	1.47E-01	2.828	BCL2L1,CAMK2G,LYN,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PRKCB,RAP1B	
CXCR4 Signaling	3.65E00	1.07E-01	3.464	Cdc42,ELMO2,FNBP1,GNB1,LYN,MYL12B,MYL6,PIK3CG,PIK3R1,PIK3R5,PRKCB,RAC2,RAP1B,RHOA,RHOF	
Sphingosine-1-phosphate Signaling	3.56E00	1.22E-01	2.530	CASP1,Cdc42,FNBP1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PTK2B,RAC2,RHOA,RHOF,S1PR5	
HER-2 Signaling in Breast Cancer	3.54E00	9.71E-02	1.698	ARF1,ARF4,COX4I1,COX8A,ELF4,FCER1G,FYN,ITGB1,ITGB2,LYN,PIK3CG,PIK3R1,PIK3R5,PRKCB,RAP1B,RBL2,SMAD3	
Remodeling of Epithelial Adherens Junctions	3.51E00	1.53E-01	2.236	ACTB,ACTG1,ARPC1B,ARPC2,ARPC4,ARPC5,IQGAP1,Mapre2,ZYX	
PKCθ Signaling in T Lymphocytes	3.48E00	1.03E-01	3.873	CAMK2G,FCER1G,FYN,HLA-A,MALT1,MAP3K1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,RAC2,RAP1B	
T Helper Cell Differentiation	3.45E00	1.37E-01	NaN	FCER1G,HLA-A,IFNGR1,IL10RA,IL10RB,IL12RB2,IL18R1,STAT4,TBX21,TNFRSF1B	
p70S6K Signaling	3.43E00	1.12E-01	2.714	F2R,JAK1,LYN,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPM1J,PRKCB,RAP1B,SYK,YWHAB,YWHAQ	
Synaptogenesis Signaling Pathway	3.4E00	8.47E-02	3.710	ARPC1B,ARPC2,ARPC4,ARPC5,Calm1 (includes others),CAMK2G,CFL1,FYN,GRINA,HSPA8,LYN,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A,RAP1B,RAPGEF1,RHOA,TLN1	
MSP-RON Signaling Pathway	3.39E00	1.63E-01	NaN	ACTB,ACTG1,CCR2,ITGAM,ITGB2,PIK3CG,PIK3R1,PIK3R5	
IL-3 Signaling	3.36E00	1.33E-01	2.530	INPP5D,JAK1,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PRKCB,RAP1B,RAPGEF1	
Neuregulin Signaling	3.32E00	1.15E-01	2.000	HSP90AB1,HSP90B1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,PIK3R1,PLCG2,PRKCB,RAP1B	
Role of NFAT in Cardiac Hypertrophy	3.31E00	9.29E-02	4.123	Calm1 (includes others),CAMK2G,GNB1,MAP2K3,MAP3K1,MEF2A,MEF2C,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,RAP1B	
VEGF Signaling	3.26E00	1.21E-01	2.714	ACTB,ACTG1,BCL2L1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,PTK2B,RAP1B,SH2D2A	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.2E00	1.38E-01	NaN	FES,IL2RB,JAK1,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,SYK	
Regulation of Cellular Mechanics by Calpain Protease	3.17E00	1.27E-01	2.000	CAPN2,CCND3,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,RAP1B,TLN1	
Glycolysis I	3.17E00	2.5E-01	2.236	ENO1,GAPDH,PFKP,PKM,TPI1	
Calcium Signaling	3.14E00	9.62E-02	3.606	ATP2A3,ATP2B1,Calm1 (includes others),CAMK2G,GRINA,MEF2A,MEF2C,MYL6,NFATC1,PPP3CA,PPP3CC,PRKACB,PRKAR1A,RAP1B,Tpm4	
IL-15 Production	3.14E00	1.1E-01	3.464	FES,FYN,JAK1,KIT,LYN,MAP2K3,PEAK1,PTK2B,STYK1,SYK,TXK,TYK2	
PDGF Signaling	3.13E00	1.25E-01	3.162	INPP5D,JAK1,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B,TYK2	
IL-10 Signaling	3.1E00	1.34E-01	NaN	CCR5,FCGR2A,FCGR2B,IL10RA,IL10RB,IL18RAP,JAK1,MAP2K3,TYK2	
Glucocorticoid Receptor Signaling	3.08E00	6.84E-02	NaN	ACTB,ANXA1,B2M,BCL2L1,CCL5,FKBP4,FKBP5,HLA-A,HSP90AB1,HSP90B1,HSPA8,ICAM1,IL10RA,IL10RB,IL12RB2,IL18R1,IL18RAP,IL2RB,JAK1,MAP3K1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PRKAB1,PRKACB,RAP1B,SMAD3,TYK2	
Sperm Motility	3.08E00	8.61E-02	2.646	Calm1 (includes others),FES,FYN,GNB1,JAK1,KIT,LYN,MAP2K3,PEAK1,PLCG2,PRKACB,PRKAR1A,PRKCB,PTK2B,STYK1,SYK,TXK,TYK2	
Epithelial Adherens Junction Signaling	3.08E00	1.03E-01	NaN	ACTB,ACTG1,ARPC1B,ARPC2,ARPC4,ARPC5,IQGAP1,MYL6,NOTCH2,RAP1B,RAPGEF1,RHOA,ZYX	
HMGB1 Signaling	3.05E00	9.79E-02	3.317	Cdc42,FASLG,FNBP1,ICAM1,IFNGR1,MAP2K3,PIK3CG,PIK3R1,PIK3R5,RAC2,RAP1B,RHOA,RHOF,TNFRSF1B	
Granulocyte Adhesion and Diapedesis	3.05E00	9.79E-02	NaN	CCL3L3,CCL4,CCL5,CCR2,CCR5,ICAM1,IL18RAP,ITGA4,ITGAM,ITGB1,ITGB2,SELPLG,TNFRSF1B,XCL1	
Pathogenesis of Multiple Sclerosis	3.03E00	5E-01	NaN	CCL4,CCL5,CCR5	
Ceramide Signaling	3E00	1.2E-01	1.000	CTSD,MAP3K1,NSMAF,PIK3CG,PIK3R1,PIK3R5,PPM1J,RAP1B,S1PR5,TNFRSF1B	
FcγRIIB Signaling in B Lymphocytes	3E00	1.3E-01	2.121	FCGR2B,INPP5D,LYN,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP1B,SYK	
Macropinocytosis Signaling	3E00	1.3E-01	2.449	ITGB1,ITGB2,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B,RHOA	
Synaptic Long Term Potentiation	3E00	1.06E-01	2.309	Calm1 (includes others),CAMK2G,GRINA,PLCG2,PPP1CA,PPP1R12A,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,RAP1B	
Systemic Lupus Erythematosus Signaling	2.97E00	9.26E-02	NaN	CBL,CD72,FCER1G,FCGR2A,FCGR2B,HLA-A,INPP5D,LYN,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PTPRC,RAP1B	
Gα12/13 Signaling	2.96E00	1.05E-01	3.464	F2R,MAP3K1,MEF2A,MEF2C,MYL12B,MYL6,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,RHOA	
