© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
mTOR Signaling	1.29E01	2.4E-01	0.500	Cdc42,EIF3E,EIF3H,EIF3K,EIF4A2,EIF4B,FNBP1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLD3,PPM1J,PRKAB1,PRKCB,PRKCQ,PRR5L,RAC2,RAP1B,RHOA,RHOF,RHOH,RPS11,RPS12,RPS14,RPS15,RPS15A,RPS18,RPS19,RPS2,RPS20,RPS24,RPS25,RPS26,RPS27A,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
Regulation of eIF4 and p70S6K Signaling	1.29E01	2.58E-01	1.000	EIF3E,EIF3H,EIF3K,EIF4A2,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,PABPC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1J,RAP1B,RPS11,RPS12,RPS14,RPS15,RPS15A,RPS18,RPS19,RPS2,RPS20,RPS24,RPS25,RPS26,RPS27A,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
Coronavirus Pathogenesis Pathway	1.17E01	2.34E-01	4.217	CASP1,CCL5,CCR2,EEF1A1,FASLG,HDAC4,IKBKB,IL17RA,IRF9,JAK1,NPM1,PYCARD,RBL2,RPS11,RPS12,RPS14,RPS15,RPS15A,RPS18,RPS19,RPS2,RPS20,RPS24,RPS25,RPS26,RPS27A,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,SMAD3,STAT1,TGFBR2,TP53,TYK2,ZC3HAV1	
PD-1, PD-L1 cancer immunotherapy pathway	1.13E01	3.11E-01	1.512	B2M,BCL2L1,CBLB,CD247,CD28,HLA-A,HLA-DOB,HLA-E,IFNGR1,IFNGR2,IL2RB,IL2RG,JAK1,LAT,LCK,LCP2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PRKCQ,RASGRP1,SMAD3,STAT5B,TNFRSF1B,TYK2,ZAP70	
T Helper Cell Differentiation	1.12E01	3.42E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,FCER1G,HLA-A,HLA-DOB,IFNGR1,IFNGR2,IL10RA,IL10RB,IL12RB2,IL18R1,IL21R,IL2RG,IL4R,IL6R,IL6ST,STAT1,STAT4,TBX21,TGFBR2,TNFRSF1B,Trbv13-2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.11E01	3.25E-01	NaN	B2M,CD247,CD28,CD3D,CD3E,CD3G,CLTC,FCER1G,FYN,GRAP2,HLA-A,HLA-E,LAT,LCK,LCP2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PPM1J,PTPN22,PTPN6,SYK,Trbv13-2,ZAP70	
Role of NFAT in Regulation of the Immune Response	1.05E01	2.24E-01	0.000	Calm1 (includes others),CAMK4,CD247,CD28,CD3D,CD3E,CD3G,CD4,FCER1G,FCGR2A,FCGR2B,FYN,GNB1,HLA-A,HLA-DOB,IGHM,IKBKB,IKBKE,ITK,LAT,LCK,LCP2,LYN,MEF2A,MEF2C,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKCQ,RAP1B,SYK,Trbv13-2,ZAP70	
Th2 Pathway	1.02E01	2.61E-01	-1.569	CCR5,CD247,CD28,CD3D,CD3E,CD3G,CD4,CXCR6,HLA-A,HLA-DOB,ICAM1,IL12RB2,IL2RB,IL2RG,IL4R,ITGB2,JAK1,NOTCH2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCQ,RUNX3,S1PR1,SOCS3,STAT4,STAT5B,TBX21,TGFBR2,TYK2	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	9.89E00	2.92E-01	2.746	ACTB,ACTG1,ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,CBL,FCGR2A,FYB1,FYN,INPP5D,LCP2,LYN,NCK1,PIK3CG,PIK3R1,PLCG1,PLD3,PRKCB,PRKCQ,PTK2B,RAB11A,RAC2,SYK,TLN1	
Integrin Signaling	9.82E00	2.13E-01	3.333	ACTB,ACTG1,ACTR3,ARF1,ARF4,ARHGAP26,ARPC1B,ARPC2,ARPC4,ARPC5,CAPN2,Cdc42,FNBP1,FYN,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MYL12B,NCK1,PFN1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP1R12A,RAC2,RAP1B,RAPGEF1,RHOA,RHOF,RHOH,TLN1,ZYX	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	9.72E00	1.93E-01	1.043	BCL2L1,Calm1 (includes others),CAMK4,CBL,CCND2,CCND3,CD5,CD72,FASLG,FCGR2A,FCGR2B,FOXO1,FYN,IFNGR1,IFNGR2,IGHM,IL6R,IL6ST,INPP5D,IRF9,JAK1,LCK,LTB,LYN,MALT1,NFATC1,PIK3AP1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKCB,PRKCQ,PTPN6,RAC2,RAP1B,RASGRP1,STAT1,SYK,TNFSF8,TRAF1,TYK2	
PKCθ Signaling in T Lymphocytes	9.18E00	2.28E-01	-0.354	CAMK2G,CD247,CD28,CD3D,CD3E,CD3G,CD4,FCER1G,FYN,GRAP2,HLA-A,HLA-DOB,IKBKB,IKBKE,LAT,LCK,LCP2,MALT1,MAP3K1,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKCQ,RAC2,RAP1B,Trbv13-2,ZAP70	
PI3K/AKT Signaling	9.17E00	2.07E-01	0.943	BCL2L1,FOXO1,HSP90AB1,HSP90B1,IKBKB,IKBKE,IL10RA,IL10RB,IL12RB2,IL17RA,IL18R1,IL18RAP,IL21R,IL27RA,IL2RB,IL2RG,IL4R,IL6R,IL6ST,IL7R,INPP5D,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,JAK1,PIK3CD,PIK3CG,PIK3R1,PPM1J,RAP1B,TP53,TYK2,YWHAB,YWHAQ	
Calcium-induced T Lymphocyte Apoptosis	9.02E00	3.39E-01	-0.943	ATP2A3,Calm1 (includes others),CAMK4,CAPN2,CD247,CD3D,CD3E,CD3G,CD4,FCER1G,HLA-A,HLA-DOB,LCK,PLCG1,PPP3CA,PPP3CC,PRKCB,PRKCQ,Trbv13-2,ZAP70	
B Cell Receptor Signaling	8.96E00	2.11E-01	3.182	BCL2L1,Calm1 (includes others),CAMK2G,CAMK4,CFL1,ETS1,FCGR2A,FCGR2B,FOXO1,IGHM,IKBKB,IKBKE,INPP5D,LYN,MALT1,MAP2K3,MAP3K1,MEF2C,NFATC1,PIK3AP1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKCB,PRKCQ,PTK2B,PTPN6,PTPRC,RAC2,RAP1B,RASSF5,SYK	
Regulation of Actin-based Motility by Rho	8.91E00	2.75E-01	2.828	ACTB,ACTR3,ARHGDIA,ARPC1B,ARPC2,ARPC4,ARPC5,Cdc42,CFL1,FNBP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MYL12B,MYL6,PFN1,PPP1R12A,RAC2,RHOA,RHOF,RHOH	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	8.77E00	2.63E-01	-0.784	Calm1 (includes others),CAMK4,CD247,CD28,CD3D,CD3E,CD3G,FCER1G,FYN,IKBKB,IKBKE,LAT,LCK,MALT1,MAP3K1,NFATC1,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKCQ,RAP1B,SMAD3,TGFBR2,Trbv13-2,ZAP70	
Signaling by Rho Family GTPases	8.56E00	1.88E-01	3.413	ACTB,ACTG1,ACTR3,ARHGEF1,ARHGEF18,ARHGEF2,ARHGEF3,ARPC1B,ARPC2,ARPC4,ARPC5,Cdc42,CDC42EP3,CFL1,CLIP1,FNBP1,GNB1,IQGAP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MSN,MYL12B,MYL6,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,PTK2B,RAC2,RHOA,RHOF,RHOH,SEPTIN11,SEPTIN2,VIM	
Cdc42 Signaling	8.39E00	2.27E-01	0.688	ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,B2M,CD247,CD3D,CD3E,CD3G,CFL1,CLIP1,EXOC6,FCER1G,HLA-A,HLA-DOB,HLA-E,IQGAP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,ITK,MYL12B,MYL6,PPP1R12A,Trbv13-2	
Leukocyte Extravasation Signaling	8.39E00	2.05E-01	2.121	ACTB,ACTG1,ARHGAP1,CD44,CYBA,ICAM1,ITGA4,ITGAL,ITGAM,ITGB1,ITGB2,ITK,MSN,MYL6,PECAM1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,PTK2B,RAC2,RAP1B,RAPGEF4,RASGRP1,RASSF5,RHOA,RHOH,SELPLG,SIPA1,SPN,TXK	
RhoGDI Signaling	8.03E00	2.02E-01	-1.800	ACTB,ACTG1,ACTR3,ARHGAP1,ARHGDIA,ARHGEF1,ARHGEF18,ARHGEF2,ARHGEF3,ARPC1B,ARPC2,ARPC4,ARPC5,CD44,Cdc42,CFL1,FNBP1,GNB1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MSN,MYH9,MYL12B,MYL6,PPP1R12A,RAC2,RHOA,RHOF,RHOH	
Semaphorin Neuronal Repulsive Signaling Pathway	7.97E00	2.3E-01	-1.000	CD44,CFL1,DPYSL2,FES,FYN,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MAP2K3,MICAL1,MYL12B,MYL6,PDE4B,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP1R12A,PRKACB,PRKAR1A,RHOA,TP53	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	7.92E00	1.87E-01	0.870	B2M,CAMK4,CASP1,CBL,CD247,CD28,CD3D,CD3E,CD3G,CD44,Cdc42,FASLG,FCER1G,FNBP1,HLA-A,HLA-DOB,HLA-E,ITGAL,LAT,MAP2K3,MSN,PDK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PPM1J,PPP3CA,PPP3CC,RAC2,RAP1B,RHOA,RHOF,RHOH,SELPLG,SYK,Trbv13-2	
Actin Cytoskeleton Signaling	7.83E00	1.89E-01	2.043	ACTB,ACTG1,ACTR3,ARHGEF1,ARPC1B,ARPC2,ARPC4,ARPC5,CFL1,CYFIP2,F2R,FLNA,IQGAP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MSN,MYH9,MYL12B,MYL6,NCKAP1L,PFN1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,RAC2,RAP1B,RHOA,SSH1,SSH2,TLN1	
Phagosome Formation	7.31E00	2.26E-01	NaN	Cdc42,FCER1G,FCGR2A,FCGR2B,FNBP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAC2,RHOA,RHOF,RHOH,SYK,TLR1	
Actin Nucleation by ARP-WASP Complex	7.1E00	2.59E-01	1.941	ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,Cdc42,FNBP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,NCK1,PPP1R12A,RAC2,RAP1B,RHOA,RHOF,RHOH	
Reelin Signaling in Neurons	7.02E00	2.25E-01	2.200	ACTR3,ARHGEF1,ARHGEF2,ARHGEF3,ARPC1B,ARPC2,ARPC4,ARPC5,CAMK2G,CFL1,CNR2,FYN,GRINA,ITGB1,LCK,LYN,MAP2K3,PDK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,RAPGEF1,RHOA	
PI3K Signaling in B Lymphocytes	6.68E00	2.06E-01	1.569	ATF6,Calm1 (includes others),CAMK2G,CAMK4,CBL,FCGR2B,FYN,IGHM,IKBKB,IKBKE,IL4R,INPP5D,LYN,MALT1,NFATC1,PIK3AP1,PIK3CD,PIK3CG,PIK3R1,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKCB,PTPRC,RAP1B,SYK	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	6.61E00	1.88E-01	0.962	Cdc42,CYBA,FNBP1,IFNGR1,IFNGR2,IKBKB,IKBKE,IRF8,JAK1,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PRKCB,PRKCQ,PTPN6,RAC2,RAP1B,RHOA,RHOF,RHOH,STAT1,TNFRSF1B,TYK2	
Virus Entry via Endocytic Pathways	6.35E00	2.36E-01	NaN	ACTB,ACTG1,B2M,CLTC,FLNA,FYN,HLA-A,HLA-E,ITGB1,ITGB2,ITGB7,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAC2,RAP1B	
ERK/MAPK Signaling	6.34E00	1.76E-01	1.961	ELF4,ETS1,FYN,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PRKACB,PRKAR1A,PRKCB,PTK2B,RAC2,RAP1B,RAPGEF1,RAPGEF4,STAT1,TLN1,YWHAB,YWHAQ	
Crosstalk between Dendritic Cells and Natural Killer Cells	6.32E00	2.65E-01	0.000	ACTB,ACTG1,CAMK2G,CCR7,CD226,CD28,CD69,FASLG,HLA-A,HLA-E,IL2RB,IL2RG,ITGAL,KLRD1,LTB,PRF1,TLN1,TNFRSF1B	
Systemic Lupus Erythematosus Signaling	6.28E00	1.85E-01	NaN	CAMK4,CBL,CD247,CD28,CD3D,CD3E,CD3G,CD72,FCER1G,FCGR2A,FCGR2B,HLA-A,HLA-E,IGHM,IL6R,INPP5D,LAT,LCK,LYN,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PTPN6,PTPRC,RAP1B,Trbv13-2	
RhoA Signaling	6.22E00	2.24E-01	2.132	ACTB,ACTG1,ACTR3,ARHGAP1,ARHGEF1,ARPC1B,ARPC2,ARPC4,ARPC5,CDC42EP3,CFL1,LPAR6,MSN,MYL12B,MYL6,PFN1,PPP1R12A,PTK2B,RAPGEF6,RHOA,SEPTIN11,SEPTIN2	
Glucocorticoid Receptor Signaling	6.2E00	1.32E-01	NaN	ACTB,ANXA1,ARID1A,ATP5F1B,B2M,BCL2L1,CCL5,CD247,CD3D,CD3E,CD3G,FKBP4,FKBP5,HLA-A,HLA-DOB,HLA-E,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPA9,ICAM1,IKBKB,IKBKE,IL10RA,IL10RB,IL12RB2,IL17RA,IL18R1,IL18RAP,IL21R,IL27RA,IL2RB,IL2RG,IL4R,IL6R,IL6ST,IL7R,JAK1,MAP3K1,NDUFA10,NDUFA3,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PRKAB1,PRKACB,RAP1B,SDHA,SMAD3,STAT1,STAT5B,TGFBR2,TSC22D3,TYK2,VIPR1	
Nur77 Signaling in T Lymphocytes	6.06E00	2.35E-01	-0.258	B2M,Calm1 (includes others),CAMK4,CD247,CD28,CD3D,CD3E,CD3G,FASLG,FCER1G,HLA-A,HLA-DOB,HLA-E,NFATC1,PDK1,PPP3CA,PPP3CC,PRKCB,PRKCQ,Trbv13-2	
HER-2 Signaling in Breast Cancer	6.03E00	1.77E-01	0.180	ARF1,ARF4,COX4I1,COX7A2L,COX8A,CYB5A,ELF4,ETS1,FCER1G,FOXO1,FYN,IKBKB,IKBKE,ITGB1,ITGB2,ITGB7,LCK,LYN,PDK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PRKCB,PRKCQ,RAP1B,RBL2,RPS6,SMAD3,TP53	
Rac Signaling	5.97E00	2E-01	3.441	ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,CD44,CFL1,CYFIP2,IQGAP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAC2,RAP1B,RHOA	
Role of JAK1 and JAK3 in γc Cytokine Signaling	5.93E00	2.62E-01	NaN	FES,IL21R,IL2RB,IL2RG,IL4R,IL7R,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,SOCS3,STAT1,STAT5B,SYK	
GP6 Signaling Pathway	5.54E00	2.06E-01	1.698	Calm1 (includes others),CAMK4,FCER1G,FYB1,FYN,GRAP2,ITK,LAT,LCP2,LYN,NCK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B,SYK,TLN1	
Cardiac Hypertrophy Signaling (Enhanced)	5.47E00	1.27E-01	1.697	AKAP13,ATF6,ATP2A3,Calm1 (includes others),CAMK2G,CAMK4,FASLG,GNB1,HDAC4,IKBKB,IKBKE,IL10RA,IL10RB,IL12RB2,IL17RA,IL18R1,IL18RAP,IL21R,IL27RA,IL2RB,IL2RG,IL4R,IL6R,IL6ST,IL7R,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,LTB,MAP2K3,MAP3K1,MEF2A,MEF2C,NFATC1,PDE4B,PDK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B,RHOA,RPS6,TGFBR2,TNFRSF1B,TNFSF8	
Th17 Activation Pathway	5.44E00	2.43E-01	0.577	CD247,CD3D,CD3E,CD3G,FCER1G,HSP90AB1,HSP90B1,IL12RB2,IL21R,IL6R,IRAK2,JAK1,NFATC1,SOCS3,STAT4,Trbv13-2,TYK2	
Dendritic Cell Maturation	5.14E00	1.73E-01	0.218	B2M,CCR7,CD247,CD3D,CD3E,CD3G,FCER1G,FCGR2A,FCGR2B,HLA-A,HLA-DOB,HLA-E,ICAM1,IKBKB,IKBKE,IRF8,LTB,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,STAT1,STAT4,TNFRSF1B,Trbv13-2	
Type I Diabetes Mellitus Signaling	5.12E00	2E-01	-0.258	CD247,CD28,CD3D,CD3E,CD3G,FASLG,FCER1G,HLA-A,HLA-DOB,HLA-E,IFNGR1,IFNGR2,IKBKB,IKBKE,JAK1,MAP2K3,PRF1,SOCS3,STAT1,TNFRSF1B,Trbv13-2	
Antigen Presentation Pathway	5.03E00	3.57E-01	NaN	B2M,CD74,HLA-A,HLA-DOB,HLA-E,NLRC5,PSMB8,TAP1,TAP2,TAPBP	
Autoimmune Thyroid Disease Signaling	5.02E00	3E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,FASLG,FCER1G,HLA-A,HLA-DOB,HLA-E,PRF1,Trbv13-2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	5E00	3.24E-01	-0.378	B2M,CD247,CD3D,CD3E,CD3G,FASLG,FCER1G,HLA-A,HLA-E,PRF1,Trbv13-2	
SAPK/JNK Signaling	4.86E00	1.93E-01	1.500	CD247,CD3D,CD3E,CD3G,DAXX,FCER1G,GNB1,HNRNPK,LCK,MAP3K1,MAP4K2,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAC2,RAP1B,SH2D2A,TP53,Trbv13-2	
Allograft Rejection Signaling	4.85E00	2.71E-01	NaN	B2M,CD247,CD28,CD3D,CD3E,CD3G,FASLG,FCER1G,HLA-A,HLA-DOB,HLA-E,PRF1,Trbv13-2	
Communication between Innate and Adaptive Immune Cells	4.85E00	2.21E-01	NaN	B2M,CCL3L3,CCL4,CCL5,CCR7,CD247,CD28,CD3D,CD3E,CD3G,CD4,FCER1G,HLA-A,HLA-E,IGHM,TLR1,Trbv13-2	
CCR5 Signaling in Macrophages	4.83E00	2.04E-01	1.265	Calm1 (includes others),CAMK4,CCL4,CCL5,CCR5,CD247,CD3D,CD3E,CD3G,CD4,FASLG,FCER1G,GNB1,PLCG1,PLCG2,PRKCB,PRKCQ,PTK2B,Trbv13-2	
Graft-versus-Host Disease Signaling	4.78E00	2.86E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,FASLG,FCER1G,HLA-A,HLA-DOB,HLA-E,PRF1,Trbv13-2	
Primary Immunodeficiency Signaling	4.73E00	3.06E-01	NaN	CD3D,CD3E,CD4,IGHM,IL2RG,IL7R,LCK,PTPRC,TAP1,TAP2,ZAP70	
Interferon Signaling	4.58E00	3.23E-01	-1.000	IFIT1,IFNGR1,IFNGR2,IRF9,JAK1,PSMB8,PTPN2,STAT1,TAP1,TYK2	
IL-8 Signaling	4.57E00	1.56E-01	3.024	BCL2L1,CCND2,CCND3,Cdc42,FNBP1,GNB1,ICAM1,IKBKB,IKBKE,IQGAP1,IRAK2,ITGAM,ITGAX,ITGB2,LASP1,MYL12B,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLD3,PRKCB,PRKCQ,PTK2B,RAC2,RAP1B,RHOA,RHOF,RHOH	
