© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Actin Cytoskeleton Signaling	4.71E00	1.23E-01	NaN	ABI2,ARHGAP24,ARPC3,CYFIP1,DIAPH1,IQGAP2,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,MYH8,MYL12B,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,RAC3,RAP2A,RAP2B,SOS2,SSH1,SSH3,TIAM2,TLN1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	4.65E00	1.74E-01	NaN	ARF6,ARPC3,CSF2,FCGR2A,FYN,GAB2,LYN,MAPK3,PIK3CG,PIK3R1,PLD1,RAB11A,RAC3,SYK,TLN1,VAMP3	
IL-10 Signaling	4.44E00	1.45E-01	NaN	ATF4,BHLHE40,CCR5,CREB5,FCGR2A,FCGR2B,HLA-A,IFNG,IFNGR1,IL10RA,IL10RB,IL18RAP,IL1RAP,JAK1,NFKB1,PBX1,PRDM1,PRKAB1,TLR4,TYK2	
ERK/MAPK Signaling	4.42E00	1.25E-01	NaN	ATF4,CREB5,ELF4,ESR1,FYN,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP1R12A,PRKACB,RAC3,RAP2A,RAP2B,SOS2,TLN1,VRK2,YWHAQ	
Germ Cell-Sertoli Cell Junction Signaling	4.37E00	1.36E-01	NaN	AFDN,CTNNA1,FER,ILK,ITGA2,ITGB1,MAPK3,MYO7A,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAC3,RAP2A,RAP2B,RHOB,RHOQ,TGFB3,TJP1,TUBA8,TUBB6,ZYX	
Ephrin Receptor Signaling	4.27E00	1.25E-01	NaN	ABI1,ANGPT1,ARPC3,ATF4,CREB5,FYN,GNAS,GNB1,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,ITSN1,KALRN,MAPK3,PDGFB,PIK3CG,RAC3,RAP2A,RAP2B,SDCBP,SOS2,VEGFC	
GM-CSF Signaling	4.19E00	1.86E-01	NaN	CAMK2B,CAMK2G,CSF2,LYN,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,RAP2A,RAP2B,SOS2	
Th1 and Th2 Activation Pathway	4.19E00	1.35E-01	NaN	CCR5,HLA-A,IFNG,IFNGR1,IL10RA,IL10RB,IL12RB2,IL18R1,JAK1,KLRC1,KLRD1,NFIL3,NFKB1,NOTCH2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,STAT4,TBX21,TYK2	
Semaphorin Neuronal Repulsive Signaling Pathway	4.17E00	1.39E-01	NaN	DPYSL5,FARP1,FES,FYN,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MICAL1,MYL12B,PDE4A,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP1R12A,PRKACB	
Molecular Mechanisms of Cancer	4.16E00	9.79E-02	NaN	ARHGEF2,BID,CAMK2B,CAMK2G,CASP9,CDK14,CTNNA1,FASLG,FYN,FZD5,GAB2,GNAS,GNB1,HHAT,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,JAK1,MAPK3,NAIP,Naip1 (includes others),NF1,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKACB,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SMAD3,SOS2,TAB2,TCF4,TGFB3,TYK2,XIAP	
IL-33 Signaling Pathway	4.09E00	1.3E-01	NaN	ATF4,CASP1,CASP4,CASP9,CCL5,CMA1,CREB5,CSF2,H2AZ1,IFNG,IL1RAP,KIT,LPIN1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,SYK	
Virus Entry via Endocytic Pathways	4.07E00	1.5E-01	NaN	AP4B1,AP4S1,CXADR,FYN,HLA-A,ITGA2,ITGA5,ITGB1,ITSN1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAC3,RAP2A,RAP2B	
IL-12 Signaling and Production in Macrophages	4.06E00	1.21E-01	NaN	Calm1 (includes others),CCR5,CSF2,FCGR2A,FCGR2B,IFNG,IFNGR1,IL10RA,IL10RB,IL12RB2,IRF8,ITGAM,MAPK3,NFIL3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKAB1,STAT4,TBX21,TGFB3,TLR4,TYK2	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	4.01E00	2.04E-01	NaN	CASP9,CCL5,CCR5,IFNG,KPNA3,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.97E00	1.18E-01	NaN	ADAM17,ADAMTS5,Calm1 (includes others),CASP9,CSF2,FZD5,IFNG,IL18R1,IL18RAP,IL1RAP,IL7,ITGA5,MAPK3,NAIP,Naip1 (includes others),NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,RUNX2,SPP1,TAB2,TCF4,XIAP	
PTEN Signaling	3.96E00	1.34E-01	NaN	CASP9,FASLG,ILK,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAC3,RAP2A,RAP2B,SOS2,SYNJ1	
Hepatic Fibrosis Signaling Pathway	3.94E00	9.83E-02	NaN	ATF4,CACNB4,Calm1 (includes others),CCDC88A,CCL5,CREB5,FZD5,IL18RAP,IL1RAP,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,JAK1,MAPK3,MYL12B,NFKB1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SIRT3,SMAD3,SOS2,SPP1,TCF4,TGFB3,TIRAP,TLR4,VEGFC	
Paxillin Signaling	3.93E00	1.52E-01	NaN	ARF6,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PTPN12,RAP2A,RAP2B,SOS2,TLN1	
MSP-RON Signaling in Macrophages Pathway	3.88E00	1.51E-01	NaN	ATF4,CREB5,GAB2,IFNG,IFNGR1,ITGAM,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,TLR4	
SPINK1 General Cancer Pathway	3.86E00	1.96E-01	NaN	GZMA,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRSS2,RAP2A,RAP2B,TYK2	
Chemokine Signaling	3.81E00	1.71E-01	NaN	Calm1 (includes others),CAMK1,CAMK2B,CAMK2G,CCL4,CCL5,CCR5,MAPK3,PIK3CG,PLCG2,PPP1R12A,RAP2A,RAP2B	
Actin Nucleation by ARP-WASP Complex	3.71E00	1.59E-01	NaN	ARPC3,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,PPP1R12A,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SOS2	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.7E00	1.76E-01	NaN	FES,IL15,IL7,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SYK	
Sertoli Cell Germ Cell Junction Signaling Pathway (Enhanced)	3.69E00	1.13E-01	NaN	AFDN,ARPC3,CAMK2B,CTNNA1,CXADR,FOSL2,IL18RAP,IL1RAP,ILK,ITGA2,ITGB1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKACB,RAC3,RAP2A,RAP2B,SMAD3,TGFB3,TJP1,ZYX	
Role of PKR in Interferon Induction and Antiviral Response	3.61E00	1.38E-01	NaN	BID,CASP1,CASP9,FASLG,HSPA2,IFNG,IFNGR1,JAK1,MAPK3,NFKB1,NLRP10,PDGFB,PRKRA,TAB2,TIRAP,TLR4,TYK2	
Endometrial Cancer Signaling	3.59E00	1.83E-01	NaN	CASP9,CTNNA1,ILK,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2	
Neuroinflammation Signaling Pathway	3.58E00	1.05E-01	NaN	ATF4,CASP1,CCL5,CREB5,CX3CR1,FASLG,GLUL,HLA-A,IDE,IFNG,IFNGR1,JAK1,MAPK3,NAIP,Naip1 (includes others),NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,RAC3,SYK,TGFB3,TIRAP,TLR4,TYK2,TYROBP,XIAP	
Cardiac Hypertrophy Signaling (Enhanced)	3.58E00	8.97E-02	NaN	ADRB1,ATF6,CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,CSF2,DIAPH1,ENPP1,FASLG,FZD5,GNAS,GNB1,IFNG,IL10RA,IL10RB,IL12RB2,IL15,IL18R1,IL18RAP,IL20RB,IL3RA,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,MEF2A,MEF2C,NFKB1,PDE1C,PDE2A,PDE4A,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PRKACB,RAP2A,RAP2B,RYR3,TGFB3,TNFSF12	
Amyotrophic Lateral Sclerosis Signaling	3.55E00	1.42E-01	NaN	BID,CACNB4,CAPN2,CAPN5,CASP1,CASP9,GLUL,NAIP,Naip1 (includes others),PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,VEGFC,XIAP	
Fc Epsilon RI Signaling	3.55E00	1.42E-01	NaN	CSF2,FCER1G,FYN,LYN,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAC3,RAP2A,RAP2B,SOS2,SYK,SYNJ1	
PAK Signaling	3.51E00	1.4E-01	NaN	ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,MYL12B,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2	
JAK/STAT Signaling	3.47E00	1.59E-01	NaN	JAK1,MAPK3,NFKB1,PIAS3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,STAT4,TYK2	
Macropinocytosis Signaling	3.29E00	1.6E-01	NaN	ABI1,ARF6,ITGA5,ITGB1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B	
HMGB1 Signaling	3.28E00	1.23E-01	NaN	CSF2,FASLG,IFNG,IFNGR1,IL15,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAC3,RAP2A,RAP2B,RHOB,RHOQ,TGFB3,TLR4,TNFSF12	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	3.28E00	1.26E-01	NaN	CASP1,CCL5,CSF2,FASLG,IFNG,IL15,MAPK3,NFKB1,NOD1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,SYK,TGFB3,TLR4,TNFSF12	
PDGF Signaling	3.27E00	1.51E-01	NaN	JAK1,MAPK3,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2,SYNJ1,TYK2	
Melanocyte Development and Pigmentation Signaling	3.27E00	1.44E-01	NaN	ATF4,CREB5,GNAS,KIT,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,RAP2A,RAP2B,SOS2	
TWEAK Signaling	3.25E00	2.16E-01	NaN	BID,CASP9,NAIP,Naip1 (includes others),NFKB1,TNFSF12,TRAF1,XIAP	
IL-23 Signaling Pathway	3.25E00	1.96E-01	NaN	CSF2,IL12RB2,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,STAT4,TYK2	
Chronic Myeloid Leukemia Signaling	3.23E00	1.03E-01	NaN	Calm1 (includes others),CASP9,CTBP2,FZD5,GAB2,HES1,IRF8,ITCH,ITGB1,MAPK3,NFKB1,NOTCH2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PRKAB1,RAC3,RAP2A,RAP2B,SMAD3,SOS2,SPP1,TCF4,TGFB3,XIAP	
ISGylation Signaling Pathway	3.22E00	1.49E-01	NaN	CHMP5,EIF4E2,IFNG,IL10RB,IRF8,ITGA2,ITGB1,JAK1,NFKB1,TLR4,TYK2,UBE2L3,XIAP	
Signaling by Rho Family GTPases	3.22E00	1.04E-01	NaN	ARHGEF2,ARPC3,CDC42EP3,CDH22,CYFIP1,GNAS,GNB1,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,MYL12B,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLD1,PPP1R12A,RAC3,RHOB,RHOQ,SEPTIN11,SEPTIN4	
MSP-RON Signaling in Cancer Cells Pathway	3.1E00	1.25E-01	NaN	ATF4,CREB5,ELF4,IL3RA,ITGB1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,TCF4,VEGFC,YWHAQ	
FLT3 Signaling in Hematopoietic Progenitor Cells	2.98E00	1.48E-01	NaN	ATF4,CREB5,GAB2,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,STAT4	
IL-2 Signaling	2.91E00	1.64E-01	NaN	JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,SYK	
HGF Signaling	2.91E00	1.24E-01	NaN	ELF4,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2	
Myelination Signaling Pathway	2.85E00	9.46E-02	NaN	ADAM17,ARF6,ARHGAP6,ATF4,Calm1 (includes others),CREB5,FYN,FZD5,ILK,ITGA2,ITGB1,LYN,MAG,MAPK3,NFKB1,NOTCH2,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PRKACB,RAP2A,RAP2B,SMAD3,SOS2,TCF4,ZEB2	
ABRA Signaling Pathway	2.84E00	1.43E-01	NaN	ABRA,DIAPH1,ITGB1,JUNB,MEF2A,MEF2C,PPARGC1A,PPP3CA,SMTN,Tpm1,Tpm4,VEGFC	
Axonal Guidance Signaling	2.82E00	8.52E-02	NaN	ADAM17,ADAMTS10,ADAMTS14,ADAMTS5,ARPC3,DPYSL5,FES,FYN,FZD5,GNAS,GNB1,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,ITSN1,KALRN,MAG,MAPK3,MICAL1,MYL12B,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLXNC1,PPP3CA,PRKACB,RAC3,RAP2A,RAP2B,SDCBP,SEMA4C,SLIT2,SOS2,TUBA8,TUBB6,VEGFC	
Colorectal Cancer Metastasis Signaling	2.79E00	9.85E-02	NaN	CASP9,FZD5,GNAS,GNB1,IFNG,IFNGR1,JAK1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKACB,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SMAD3,SOS2,TCF4,TGFB3,TLR4,TYK2,VEGFC	
Cachexia Signaling Pathway	2.7E00	9.07E-02	NaN	ADRB1,CAPN2,CAPN5,CASP1,CASP4,CASP9,CSF2,ERN1,FASLG,FBXO30,GABARAPL1,GNAS,HSPA2,IFNG,IFNGR1,IL15,IL18RAP,IL1RAP,MAPK3,MEF2C,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKACB,SMAD3,STAT4,TGFB3,TLR4,TNFSF12	
Regulation of Cellular Mechanics by Calpain Protease	2.66E00	1.36E-01	NaN	CAPN2,CAPN5,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,RAP2A,RAP2B,TLN1	
Apelin Pancreas Signaling Pathway	2.66E00	1.78E-01	NaN	ERN1,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKACB	
Neurotrophin/TRK Signaling	2.65E00	1.43E-01	NaN	ATF4,CREB5,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,SPRY2	
IL-7 Signaling Pathway	2.65E00	1.43E-01	NaN	FYN,IFNG,IL7,JAK1,LYN,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,SOS2	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	2.64E00	1.17E-01	NaN	ADAMTS5,CAPN2,CASP1,CASP9,IL18R1,IL18RAP,IL1RAP,ITGA5,ITGB1,MAPK3,MLKL,NFKB1,PPP3CA,PRKAB1,RUNX2,VEGFC	
Acetylcholine Receptor Signaling Pathway	2.63E00	1.06E-01	NaN	ADAM17,ATF4,CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,CASP1,CASP4,CASP9,CHRNE,CREB5,FYN,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB	
Ceramide Signaling	2.62E00	1.35E-01	NaN	CERK,CTSD,MAPK3,NFKB1,NSMAF,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,S1PR5	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.61E00	9.24E-02	NaN	ATF4,Calm1 (includes others),CAMK2B,CAMK2G,CCL5,CREB5,CSF2,FZD5,IL15,IL18R1,IL18RAP,IL1RAP,IL7,MAPK3,NFKB1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PRSS2,RAP2A,RAP2B,TCF4,TLR4,TRAF1,VEGFC	
CNTF Signaling	2.61E00	1.61E-01	NaN	JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,TYK2	
NF-κB Activation by Viruses	2.6E00	1.41E-01	NaN	CCR5,ITGA2,ITGB1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B	
IL-3 Signaling	2.6E00	1.41E-01	NaN	GAB2,IL3RA,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,RAP2A,RAP2B	
Inflammasome pathway	2.6E00	2.63E-01	NaN	AIM2,CASP1,NAIP,NFKB1,TLR4	
iNOS Signaling	2.6E00	1.74E-01	NaN	Calm1 (includes others),IFNG,IFNGR1,JAK1,LY96,NFKB1,TLR4,TYK2	
ERBB4 Signaling	2.6E00	1.49E-01	NaN	ADAM17,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2	
Pathogenesis of Multiple Sclerosis	2.59E00	5E-01	NaN	CCL4,CCL5,CCR5	
Sphingosine-1-phosphate Signaling	2.58E00	1.23E-01	NaN	CASP1,CASP4,CASP9,MAPK3,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAC3,RHOB,RHOQ,S1PR5	
Mouse Embryonic Stem Cell Pluripotency	2.57E00	1.27E-01	NaN	FZD5,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,TCF4,TYK2,XIAP	
Apelin Endothelial Signaling Pathway	2.57E00	1.15E-01	NaN	ANGPT1,Calm1 (includes others),GNAS,GNB1,MAPK3,MEF2A,MEF2C,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKAB1,RAP2A,RAP2B,SMAD3	
PFKFB4 Signaling Pathway	2.54E00	1.7E-01	NaN	ATF4,CREB5,GNAS,HK3,MAPK3,PRKACB,TGFB3,XDH	
Apoptosis Signaling	2.54E00	1.26E-01	NaN	BID,CAPN2,CAPN5,CASP9,FASLG,MAPK3,NAIP,Naip1 (includes others),NFKB1,PLCG2,RAP2A,RAP2B,XIAP	
Macrophage Alternative Activation Signaling Pathway	2.54E00	1.08E-01	NaN	ATF4,CREB5,FCER1G,FCGR2B,IL10RA,IL10RB,JAK1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPARGC1A,SYK,TGFB3,TLR4,TYK2	
Synaptogenesis Signaling Pathway	2.53E00	9.21E-02	NaN	AFDN,ARPC3,ATF4,CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,CDH22,CREB5,FARP1,FYN,GOSR1,ITSN1,KALRN,LYN,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,RAP2A,RAP2B,SOS2,STXBP5,TLN1,VAMP3	
Estrogen-Dependent Breast Cancer Signaling	2.52E00	1.38E-01	NaN	ATF4,CREB5,ESR1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B	
Neuregulin Signaling	2.51E00	1.21E-01	NaN	ADAM17,ERRFI1,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,PIK3R1,PLCG2,RAP2A,RAP2B,SOS2	
NAD Signaling Pathway	2.48E00	1.13E-01	NaN	ERN1,H1-3,H1f4,NAPRT,NFKB1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,POLR2E,POLR2I,PPARGC1A,PRKAB1,RYR3,SIRT3	
RAR Activation	2.48E00	8.56E-02	NaN	ADAM17,ATF4,CAMK2B,CAMK2G,CREB5,CSF2,DHRS3,ENPP1,FASLG,GNB1,IFNG,IL15,IL3RA,KIT,MAPK3,NFKB1,NR2F6,PDE1C,PDE2A,PDE4A,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPARGC1A,PRKACB,RAC3,RHOB,RHOQ,SMAD3,SMARCD3,SORBS3,TAF4,TGFB3,TNFSF12	
IL-15 Production	2.47E00	1.2E-01	NaN	FER,FES,FYN,IL15,JAK1,KIT,LTK,LYN,NFKB1,PEAK1,ROR1,STYK1,SYK,TYK2	
Calcium Signaling	2.46E00	1E-01	NaN	ATF4,ATP2B4,CACNB4,Calm1 (includes others),CAMK1,CAMK2B,CAMK2G,CHRNE,CREB5,MAPK3,MEF2A,MEF2C,MYH8,PPP3CA,PRKACB,RAP2A,RAP2B,RYR3,TNNI1,Tpm1,Tpm4	
Glioma Invasiveness Signaling	2.46E00	1.43E-01	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAC3,RAP2A,RAP2B,RHOB,RHOQ	
