© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Prolactin Signaling	1.37E00	7.41E-02	1.633	PIK3CD,PLCG1,PRKCQ,SOCS3,STAT1,STAT5B	
B Cell Receptor Signaling	1.34E00	5.85E-02	1.000	CAMK4,ETS1,FOXO1,IGHM,IKBKB,IKBKE,PIK3CD,PRKCQ,PTPN6,RASSF5	
Erythropoietin Signaling Pathway	1.33E00	6.04E-02	0.333	CCND2,LTB,PIK3CD,PLCG1,PRKCQ,PTPN6,STAT5B,TNFSF8,TP53	
Role of p14/p19ARF in Tumor Suppression	1.32E00	1.15E-01	NaN	NPM1,PIK3CD,TP53	
Induction of Apoptosis by HIV1	1.31E00	7.94E-02	2.236	DAXX,IKBKB,IKBKE,SLC25A4,TP53	
Phagosome Maturation	1.28E00	6.2E-02	NaN	ATP6V1D,CTSB,CTSS,HLA-E,M6PR,PRDX6,TAP1,TUBB	
Unfolded protein response	1.26E00	6.98E-02	1.342	CD82,DNAJC7,EDEM1,HSPA5,HSPA9,SREBF2	
Huntington's Disease Signaling	1.25E00	5.18E-02	-0.378	ATP5F1B,HDAC4,HSPA5,HSPA9,PACSIN1,PIK3CD,PRKCQ,PSMB8,PSME1,PSME2,RPS27A,SDHA,TP53	
Death Receptor Signaling	1.22E00	6.82E-02	1.633	CFLAR,DAXX,IKBKB,IKBKE,PARP11,TNFRSF25	
Myc Mediated Apoptosis Signaling	1.22E00	8.51E-02	-1.000	CFLAR,IKBKB,IKBKE,TP53	
Anandamide Degradation	1.21E00	5E-01	NaN	FAAH	
S-adenosyl-L-methionine Biosynthesis	1.21E00	5E-01	NaN	MAT2A	
GM-CSF Signaling	1.2E00	7.35E-02	1.342	ETS1,PIK3CD,RACK1,STAT1,STAT5B	
TNFR1 Signaling	1.19E00	8.33E-02	2.000	IKBKB,IKBKE,MADD,MAP4K2	
Angiopoietin Signaling	1.17E00	7.25E-02	0.000	FOXO1,IKBKB,IKBKE,PIK3CD,STAT5B	
Oxidative Phosphorylation	1.15E00	6.52E-02	2.449	ATP5F1B,COX7A2L,CYB5A,NDUFA10,NDUFA3,SDHA	
Small Cell Lung Cancer Signaling	1.13E00	6.45E-02	NaN	CCND2,HDAC4,IKBKB,IKBKE,PIK3CD,TP53	
G-Protein Coupled Receptor Signaling	1.12E00	5.04E-02	NaN	CAMK4,CNR2,IKBKB,IKBKE,PDE4B,PIK3CD,RAPGEF4,RASGRP1,RGS10,S1PR1,TBXA2R,VIPR1	
Cancer Drug Resistance By Drug Efflux	1.11E00	7.84E-02	NaN	FOXO1,PDK1,PIK3CD,TP53	
cAMP-mediated signaling	1.11E00	5.29E-02	2.121	AKAP13,AKAP8,CAMK4,CNR2,PDE4B,RAPGEF4,RGS10,S1PR1,TBXA2R,VIPR1	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	1.1E00	5.45E-02	3.000	ETS1,FOXO1,IKBKB,IKBKE,IL6R,LTB,PIK3CD,TGFBR2,TNFSF8	
Mouse Embryonic Stem Cell Pluripotency	1.09E00	6.32E-02	1.633	ID3,IL6ST,LEF1,PIK3CD,Tcf7,TP53	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.09E00	7.69E-02	2.000	IKBKB,IKBKE,IRF9,STAT1	
Lymphotoxin β Receptor Signaling	1.09E00	7.69E-02	2.000	IKBKB,IKBKE,LTB,PIK3CD	
Insulin Secretion Signaling Pathway	1.08E00	5.07E-02	3.317	EIF4A2,LCK,PABPC1,PDHA1,PIK3CD,PLCG1,PRKCQ,RAPGEF4,SPCS2,STAT1,STAT5B	
Triacylglycerol Degradation	1.07E00	9.09E-02	NaN	FAAH,PNPLA7,PRDX6	
Telomerase Signaling	1.06E00	6.19E-02	1.342	DKC1,ETS1,HDAC4,IL2RG,PIK3CD,TP53	
Protein Ubiquitination Pathway	1.05E00	4.9E-02	NaN	ANAPC5,DNAJC7,HLA-E,HSPA5,HSPA9,PSMB8,PSME1,PSME2,RPS27A,TAP1,TAP2,USP28	
RhoA Signaling	1.04E00	6.12E-02	1.633	ACTR3,ARHGAP1,ARHGEF1,LPAR6,MSN,RAPGEF6	
Creatine-phosphate Biosynthesis	1.04E00	3.33E-01	NaN	CKB	
Mitochondrial Dysfunction	1.04E00	5.48E-02	NaN	ATP5F1B,COX7A2L,CYB5A,NDUFA10,NDUFA3,PDHA1,SDHA,UCP2	
IL-4 Signaling	1.03E00	6.58E-02	NaN	HLA-DOB,IL2RG,IL4R,PIK3CD,PTPN6	
IL-17A Signaling in Fibroblasts	1.01E00	8.57E-02	NaN	IKBKB,IKBKE,IL17RA	
Glutathione Redox Reactions I	1E00	1.18E-01	NaN	MGST2,PRDX6	
Methionine Degradation I (to Homocysteine)	1E00	1.18E-01	NaN	MAT2A,PRMT3	
TWEAK Signaling	9.83E-01	8.33E-02	NaN	IKBKB,IKBKE,TNFRSF25	
Neuroinflammation Signaling Pathway	9.83E-01	4.76E-02	3.317	CFLAR,HLA-DOB,HLA-E,IFNGR2,IKBKB,IKBKE,IL6R,PIK3CD,PLCG1,STAT1,TGFBR2,TLR1	
SPINK1 Pancreatic Cancer Pathway	9.83E-01	8.33E-02	NaN	CPM,CTSB,TGFBR2	
Epithelial Adherens Junction Signaling	9.79E-01	5.56E-02	NaN	ACTR3,CLIP1,LEF1,MYH9,Tcf7,TGFBR2,TUBB	
Agranulocyte Adhesion and Diapedesis	9.75E-01	5.3E-02	NaN	CCR7,CCR9,CXCR6,ITGB7,MSN,MYH9,PECAM1,SELL	
eNOS Signaling	9.67E-01	5.51E-02	1.134	CAMK4,HSPA5,HSPA9,LPAR6,PIK3CD,PLCG1,PRKCQ	
PEDF Signaling	9.63E-01	6.25E-02	1.342	CFLAR,IKBKB,IKBKE,PIK3CD,TP53	
JAK/Stat Signaling	9.63E-01	6.25E-02	0.447	PIK3CD,PTPN6,SOCS3,STAT1,STAT5B	
Hereditary Breast Cancer Signaling	9.39E-01	5.43E-02	NaN	ARID1A,CCND2,HDAC4,NPM1,PIK3CD,RPS27A,TP53	
IL-2 Signaling	9.36E-01	6.78E-02	2.000	IL2RG,LCK,PIK3CD,STAT5B	
Fc Epsilon RI Signaling	9.24E-01	5.66E-02	2.236	GRAP2,LAT,LCP2,PIK3CD,PLCG1,PRKCQ	
GADD45 Signaling	9.21E-01	1.05E-01	NaN	CCND2,TP53	
Cysteine Biosynthesis III (mammalia)	9.21E-01	1.05E-01	NaN	MAT2A,PRMT3	
PI3K Signaling in B Lymphocytes	9.14E-01	5.34E-02	2.449	CAMK4,IGHM,IKBKB,IKBKE,IL4R,PIK3CD,PLCG1	
Breast Cancer Regulation by Stathmin1	9.03E-01	4.21E-02	2.828	ADGRG5,ARHGEF1,CAMK4,CCND2,CCR7,CCR9,CNR2,CXCR6,GPR146,GPR183,LPAR6,PIK3CD,PPP1R11,PRKCQ,S1PR1,TBXA2R,TP53,TUBB,VIPR1	
Senescence Pathway	9E-01	4.6E-02	3.162	ANAPC5,CAMK4,CCND2,ETS1,IKBKB,IKBKE,PDHA1,PDK1,PIK3CD,RASSF5,TGFBR2,TP53	
IL-17A Signaling in Airway Cells	8.96E-01	6.56E-02	2.000	IKBKB,IKBKE,IL17RA,PIK3CD	
Glycolysis I	8.83E-01	1E-01	NaN	ALDOA,GPI	
Gluconeogenesis I	8.83E-01	1E-01	NaN	ALDOA,GPI	
Ferroptosis Signaling Pathway	8.83E-01	5.5E-02	0.816	CTSB,DPP4,G3BP1,SLC11A2,SREBF2,TP53	
Leptin Signaling in Obesity	8.79E-01	6.45E-02	NaN	FOXO1,PIK3CD,PLCG1,SOCS3	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	8.57E-01	4.97E-02	NaN	CCR7,IFNGR2,IGFBP4,IL4R,IL6R,MYH9,STAT1,TGFBR2	
Oncostatin M Signaling	8.57E-01	7.32E-02	NaN	IL6ST,STAT1,STAT5B	
Reelin Signaling in Neurons	8.54E-01	5.41E-02	2.449	ACTR3,ARHGEF1,CNR2,LCK,PDK1,PIK3CD	
p53 Signaling	8.51E-01	5.75E-02	NaN	CCND2,PIK3CD,ST13,TP53,TP53INP1	
Neuropathic Pain Signaling In Dorsal Horn Neurons	8.51E-01	5.75E-02	2.236	CAMK4,KCNN4,PIK3CD,PLCG1,PRKCQ	
Acute Myeloid Leukemia Signaling	8.51E-01	5.75E-02	2.000	IDH2,LEF1,PIK3CD,STAT5B,Tcf7	
Sirtuin Signaling Pathway	8.45E-01	4.56E-02	0.000	ATP5F1B,FOXO1,IDH2,NDUFA10,NDUFA3,PDHA1,PDK1,SDHA,SLC25A4,TP53,UCP2	
Spliceosomal Cycle	8.33E-01	7.14E-02	NaN	DDX39B,SF3B1,SF3B3	
Ceramide Biosynthesis	8.3E-01	2E-01	NaN	SPTSSA	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	8.3E-01	2E-01	NaN	PDHA1	
Cell Cycle: G1/S Checkpoint Regulation	8.24E-01	6.15E-02	0.000	CCND2,FOXO1,HDAC4,TP53	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	8.21E-01	5.62E-02	2.236	ACTR3,FYB1,LCP2,PLCG1,PRKCQ	
Virus Entry via Endocytic Pathways	8.21E-01	5.62E-02	NaN	HLA-E,ITGB7,PIK3CD,PLCG1,PRKCQ	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	8.18E-01	9.09E-02	NaN	CDIPT,PLCG1	
Gα12/13 Signaling	8.15E-01	5.26E-02	2.449	ARHGEF1,IKBKB,IKBKE,LPAR6,PIK3CD,TBXA2R	
TREM1 Signaling	8.07E-01	6.06E-02	2.000	NLRC5,PLCG1,STAT5B,TLR1	
UVA-Induced MAPK Signaling	8.07E-01	5.56E-02	NaN	PARP11,PIK3CD,PLCG1,STAT1,TP53	
Phagosome Formation	8.04E-01	5.22E-02	NaN	ITGB7,PIK3CD,PLCG1,PRKCQ,RHOH,TLR1	
IL-10 Signaling	7.9E-01	5.97E-02	NaN	IKBKB,IKBKE,IL4R,SOCS3	
IL-6 Signaling	7.8E-01	5.13E-02	1.633	IKBKB,IKBKE,IL6R,IL6ST,PIK3CD,SOCS3	
Antioxidant Action of Vitamin C	7.67E-01	5.38E-02	-2.000	IKBKB,IKBKE,PLCG1,PRDX6,STAT5B	
Macropinocytosis Signaling	7.59E-01	5.8E-02	NaN	ITGB7,PIK3CD,PLCG1,PRKCQ	
Inositol Pyrophosphates Biosynthesis	7.57E-01	1.67E-01	NaN	IP6K1	
GDP-mannose Biosynthesis	7.57E-01	1.67E-01	NaN	GPI	
Gαq Signaling	7.33E-01	4.76E-02	2.646	CAMK4,IKBKB,IKBKE,PIK3CD,PLCG1,PRKCQ,RHOH	
Hepatic Fibrosis Signaling Pathway	7.33E-01	4.1E-02	3.207	CAMK4,FOXO1,IKBKB,IKBKE,IL17RA,ITGB7,LEF1,PDK1,PIK3CD,PLCG1,PRKCQ,RHOH,SDHA,Tcf7,TGFBR2	
TR/RXR Activation	7.14E-01	5.56E-02	NaN	CAMK4,PIK3CD,SREBF2,UCP2	
